registryid,siting_metric
['110028025036'],0.00820105078342948
['110015329401'],0.00818804621098985
['110038752748'],0.008169469805755315
['110004097575'],0.008145791075886588
['110009607149'],0.008137094773229301
['110038759812'],0.008112816113984858
['110038759830'],0.008112816113984858
['110060282000'],0.008112816113984858
['110042241259'],0.008069884426540242
['110040478275'],0.008051864265604365
['110038741788'],0.008048393606171557
['C1554'],0.008042445292679293
['110039219663'],0.00803731059708493
['110060282135'],0.008030829029414556
['110043454295'],0.008024659628335753
['110039547247'],0.00802088281084801
['C6098'],0.008018209231654682
['110063859828'],0.008007690011589122
['110070605058'],0.008007690011589122
['110039536892'],0.008007418796003815
['110004088647'],0.008002577066598727
['110038764165'],0.007997330778922026
['110070149018'],0.007996473639811368
['110060491436'],0.00799553284843344
['110043083212'],0.007987114100708268
['110002394579'],0.007967324747782977
['110071089993'],0.007960559574848057
['110070789762'],0.007944865900145476
['110040316770'],0.007909249793828527
['110070164351'],0.007902412105840253
['110038755157'],0.007886950099636995
['110071229176'],0.0078786683477967
['110000826820'],0.007874486053447524
['110070556288'],0.00785825446917733
['110038741190'],0.00784059552678796
['110030979467'],0.007827546117801034
['110056392862'],0.0078199628049536
['110057204010'],0.00781087091479573
['110070164320'],0.0078064126661160655
['C6139'],0.007794628895999189
['110055084910'],0.007793753202550947
['C703'],0.007792497544262534
['110070384797'],0.0077748685159237255
['110070789720'],0.007770150110217003
['110061089888'],0.007758003945609628
['C2963'],0.0077551746077527935
['110070068427'],0.007749346901044202
['110070100673'],0.007740855785558925
['110070258825'],0.007739959077272307
['C3399'],0.007726151485224018
['110055950859'],0.007715966364995935
['110065449704'],0.007713802651829217
['110041720224'],0.00771367733116067
['110064692756'],0.007709136720021494
['110066849272'],0.007704063972517676
['110046426729'],0.0076966907861768874
['C8223'],0.0076944904621007405
['110043082614'],0.00767101601836579
['110039533966'],0.007650160081706601
['110063859739'],0.007649445989930521
['110070149286'],0.007647519442159349
['110040217468'],0.007630539604909239
['110069992122'],0.007626638519621162
['C2876'],0.007621542272015195
['110070671471'],0.0076198452319204395
['110071090706'],0.007610012051914125
['110038751259'],0.007586042836506533
['110042232562'],0.007582820481870323
['110038701170'],0.007581048054643788
['C6195'],0.007573971873600458
['110044764449'],0.007573408592154496
['110055263352'],0.007569195755647553
['110039535544'],0.007556055369477607
['110054147598'],0.007555854933943209
['C113'],0.0075335874082309165
['110038434450'],0.007529717639572849
['110045010135'],0.007513926174817262
['110070004385'],0.007513815274983683
['110038691181'],0.007506343618006133
['110070247773'],0.007493302795272594
['C2554'],0.007471642499226121
['110024228183'],0.007466748048322576
['C1004'],0.007459655960951151
['C641'],0.00745307129903072
['110054625269'],0.0074435313709831545
['110038691172'],0.007440589619294149
['110040403667'],0.007428780302083513
['110064565670'],0.007402548990407398
['110067659938'],0.007388232538063935
['C6180'],0.007376692081142806
['110038713096'],0.0073763765810198716
['110070789688'],0.007364048648706981
['110063211812'],0.007356035180454797
['110038718867'],0.0073559935416999496
['110038698460'],0.007350475396627399
['110070258822'],0.00733987130607624
['110070384841'],0.007337714299982959
['110054365940'],0.007329890993614939
['110040822919'],0.00732888014366352
['110064692738'],0.007319421285711316
['110001869078'],0.007305112694089197
['110039138830'],0.007286314422523664
['110009342363'],0.007251969223643739
['110070149060'],0.007239507270328996
['110039062563'],0.007234039448399357
['C3298'],0.007228310779389745
['110039138670'],0.007226316119698275
['110038762915'],0.007219870089835716
['110070813623'],0.007209783336628416
['110038743009'],0.007204071410471126
['110038711285'],0.00719475014541995
['110040207424'],0.007190301244075666
['110003036063'],0.007182585105702842
['110064653780'],0.0071638663372441385
['110003393890'],0.007153273325729826
['110044759589'],0.007135818700508183
['110039530585'],0.0071280318642635
['110070004510'],0.007086711140349428
['C6052'],0.0070596190961192675
['110038721853'],0.007059579778285794
['C10862'],0.007057349435915818
['110067220554'],0.007049797166033654
['110055264271'],0.007048629146922202
['110044759650'],0.0070470492644574105
['110044215275'],0.0070442231779667625
['110070671378'],0.0070429888471256795
['110070384637'],0.007042125309586686
['110038756717'],0.00702332468110507
['110039536534'],0.007013602417031967
['110067659876'],0.007009803638997544
['110070525767'],0.006999204398550646
['110046426211'],0.006996981364816356
['110071089193'],0.006995617921576289
['110040402622'],0.006994350802721886
['110038714326'],0.006994344152186384
['110056254707'],0.006994095777822287
['110071089638'],0.006991656125993824
['110038757235'],0.006988726390658385
['110038702179'],0.006976802506771488
['110038718359'],0.006970625587370957
['110070164192'],0.0069619815104890945
['110039689085'],0.006960141591693358
['110063009514'],0.006952662492717842
['110038714344'],0.006952031551670244
['110043454286'],0.006949435378117848
['110001423148'],0.006944931491742118
['110038744687'],0.006922083203278319
['110063008178'],0.006912528628891026
['110038698433'],0.006911831388012288
['110019870674'],0.006909354324833776
['110038707539'],0.0068991092761383445
['110070209643'],0.0068944391880227706
['110038744268'],0.006884982786670621
['110060281742'],0.006881923377939198
['110069497351'],0.006867129352115572
['110070149084'],0.006867079245946023
['110044762370'],0.006865792169437768
['110038748317'],0.006860987490983025
['110055950804'],0.006858940395672812
['110071162686'],0.0068475199995744395
['110039531030'],0.006843459812601504
['110070164281'],0.006839731608980828
['C54634'],0.006837321844925741
['110071089360'],0.006833109870502132
['110015335181'],0.00683201238488079
['C6183'],0.006825761390559518
['110070247772'],0.00682410400533813
['110071089565'],0.00681947708214207
['110069992219'],0.006812074906992765
['110070675666'],0.006810104989742627
['110039548308'],0.006805426222121514
['110064564555'],0.006783144534223462
['110063211420'],0.006780224795196938
['110042229488'],0.006776741611244437
['110038764174'],0.006774441161027535
['110071090538'],0.0067730431761827675
['110070789464'],0.006764293280322364
['110056254501'],0.006762722832106536
['110046369425'],0.006760553498469259
['110070209826'],0.006741604342324877
['110069498163'],0.0067414140092387
['110038747988'],0.006729017754746831
['110063211162'],0.006728018061993229
['110070068903'],0.006717384596818068
['110046368122'],0.006710160186132158
['110060281163'],0.006707176118894962
['110069349351'],0.006694491336117461
['110039063946'],0.0066876397951981656
['110031384464'],0.00668276897308718
['110070069104'],0.006665733702635974
['110070385520'],0.006662563876588421
['110038736641'],0.006651905546636282
['C1384'],0.0066493253193292134
['110039689003'],0.00664671717034743
['110011553666'],0.006646375501720901
['110069498109'],0.006644923240734623
['110071088891'],0.006644239294583452
['110004089575'],0.0066393499887081086
['110040403710'],0.006638747324453735
['110038700331'],0.006638319375569561
['110038758886'],0.006633975579785838
['110045400981'],0.006630281117799604
['110000313688'],0.006629717226811275
['110046371092'],0.006629530792761076
['110071090078'],0.006626526954810567
['C56596'],0.006625547921594053
['110070149265'],0.006623930515345147
['110038702124'],0.006612221672101681
['110067448765'],0.006602471254517759
['110064692417'],0.006602286244570922
['110071089561'],0.0065961477356415955
['110040402766'],0.006581254190305912
['110070004636'],0.006570034532024505
['110038712943'],0.006568438877287399
['110039556940'],0.006567252633546129
['110070570395'],0.00655816436570046
['110038742466'],0.006554823101757115
['110045010279'],0.006554548828177642
['110060389253'],0.006548694656318571
['110043315141'],0.006548199978813967
['110057002498'],0.006545310450139461
['110022287942'],0.006545235124757959
['110046367891'],0.006530331987117036
['110070209830'],0.006527496965362296
['110067448818'],0.0065271101592923285
['110054625429'],0.0065226938755566346
['110070028519'],0.006516740052462426
['110038714362'],0.006511644163245947
['110038740119'],0.006502529494440326
['110038714433'],0.006497643777805397
['110071090232'],0.006497575714702798
['110019115919'],0.006493990520948508
['110038691494'],0.006490486131216289
['110070789707'],0.006488499620671583
['110004614711'],0.006478959021150551
['110043636973'],0.006465791629637311
['110031398654'],0.0064641576833426775
['110038740084'],0.00646228803174963
['110060526202'],0.006459411977128457
['C26'],0.006453511154469236
['110006782106'],0.006453267112709808
['110011767999'],0.0064468934164939205
['110061089851'],0.006444388011141217
['C10234'],0.006437557408282348
['110070560324'],0.006434803708700819
['C997'],0.006422104077332432
['110038759992'],0.006422061620537157
['110070258709'],0.006419417121909294
['C1024'],0.0064148516077684155
['110067449087'],0.006412570742537075
['110070385510'],0.006411937040561604
['110038759910'],0.006399800917560695
['110054146241'],0.006388225745867192
['110064566492'],0.00638742863721683
['110067033294'],0.006387029606950634
['110071089268'],0.0063677071743671355
['110070258765'],0.006365150514191412
['110070164365'],0.0063644023745460365
['110038763629'],0.006357513603245017
['110043425264'],0.0063565485234131506
['110070205626'],0.0063544257034551166
['110038760427'],0.006353926669324889
['C6248'],0.006345569332290834
['110057002489'],0.006342587581993715
['110070164350'],0.0063262284419538135
['110001899651'],0.006312762047855741
['110038742643'],0.006310662049376003
['110070028540'],0.006304609536904281
['C7097'],0.006301519846484122
['110067220572'],0.006299870594020675
['110038692000'],0.006294862823918757
['110038750376'],0.006294293273941533
['110055085269'],0.006293914348926199
['110045012213'],0.006291378379908459
['110070057700'],0.006291183842568876
['110040402356'],0.006278216213352021
['110070789586'],0.006274487173807608
['110060457759'],0.006271751733887682
['110070507859'],0.00627013948262949
['110056365302'],0.006265631196402709
['110001896342'],0.00626276762001792
['110043316284'],0.006260440966068842
['110070789690'],0.006259319790318373
['110060911508'],0.006255086417010606
['110070258636'],0.0062518401222068695
['110039546587'],0.006237173618873302
['C3407'],0.006235138252226327
['110070629128'],0.00623313850944602
['110056254333'],0.006233020050569261
['110070209698'],0.006230210554586558
['110044214882'],0.006225285589445355
['110054147437'],0.006223309516847639
['110063011734'],0.006220490618417288
['110038755503'],0.006220490618417288
['110039542938'],0.0062108684722147
['110056364759'],0.0062086918350643195
['110071089983'],0.0062078194822781365
['110038742796'],0.006207661191603756
['110070675642'],0.0062061532547062976
['110070616068'],0.006204187815122785
['110070149324'],0.006203669151745743
['110043638025'],0.006202455223377206
['110038760007'],0.006190651818674372
['110042302371'],0.006174334451715043
['110070225904'],0.006169686380989615
['110038723682'],0.006158754283787426
['110054364111'],0.006152180356529332
['110070556406'],0.006146801610452472
['110012181557'],0.006137133441401422
['110055129855'],0.006136613742558632
['110015331737'],0.006136183801248671
